"municipality_id","estrana","votes","pct_votes","okres"
"500186",10,10,0.08,"CZ0100"
"500186",11,6,0.05,"CZ0100"
"500186",12,50,0.41,"CZ0100"
"500186",13,20,0.16,"CZ0100"
"500186",14,4,0.03,"CZ0100"
"500186",15,4,0.03,"CZ0100"
"500186",16,50,0.41,"CZ0100"
"500186",17,2,0.02,"CZ0100"
"500186",18,4,0.03,"CZ0100"
"500186",19,17,0.14,"CZ0100"
"500186",21,4,0.03,"CZ0100"
"500186",22,11,0.09,"CZ0100"
"500186",23,13,0.11,"CZ0100"
"500186",24,420,3.41,"CZ0100"
"500186",25,104,0.84,"CZ0100"
"500186",26,3217,26.1,"CZ0100"
"500186",27,2803,22.74,"CZ0100"
"500186",28,578,4.69,"CZ0100"
"500186",29,5,0.04,"CZ0100"
"500186",30,1021,8.28,"CZ0100"
"500186",31,9,0.07,"CZ0100"
"500186",33,1,0.01,"CZ0100"
"500186",34,58,0.47,"CZ0100"
"500186",35,8,0.06,"CZ0100"
"500186",36,19,0.15,"CZ0100"
"500186",37,171,1.39,"CZ0100"
"500186",38,3,0.02,"CZ0100"
"500186",39,606,4.92,"CZ0100"
"500186",40,65,0.53,"CZ0100"
"500208",1,27,0.1,"CZ0100"
"500208",2,96,0.34,"CZ0100"
"500208",3,78,0.28,"CZ0100"
"500208",4,23,0.08,"CZ0100"
"500208",5,4858,17.14,"CZ0100"
"500208",6,258,0.91,"CZ0100"
"500208",7,871,3.07,"CZ0100"
"500208",8,11,0.04,"CZ0100"
"500208",9,1449,5.11,"CZ0100"
"500208",10,22,0.08,"CZ0100"
"500208",11,27,0.1,"CZ0100"
"500208",12,131,0.46,"CZ0100"
"500208",13,40,0.14,"CZ0100"
"500208",14,9,0.03,"CZ0100"
"500208",15,28,0.1,"CZ0100"
"500208",16,170,0.6,"CZ0100"
"500208",17,184,0.65,"CZ0100"
"500208",18,11,0.04,"CZ0100"
"500208",19,45,0.16,"CZ0100"
"500208",21,6,0.02,"CZ0100"
"500208",22,29,0.1,"CZ0100"
"500208",23,24,0.08,"CZ0100"
"500208",24,955,3.37,"CZ0100"
"500208",25,247,0.87,"CZ0100"
"500208",26,5247,18.52,"CZ0100"
"500208",27,5495,19.39,"CZ0100"
"500208",28,1749,6.17,"CZ0100"
"500208",29,13,0.05,"CZ0100"
"500208",30,4194,14.8,"CZ0100"
"500208",31,28,0.1,"CZ0100"
"500208",32,8,0.03,"CZ0100"
"500208",33,9,0.03,"CZ0100"
"500208",34,150,0.53,"CZ0100"
"500208",35,27,0.1,"CZ0100"
"500208",36,38,0.13,"CZ0100"
"500208",37,233,0.82,"CZ0100"
"500208",38,3,0.01,"CZ0100"
"500208",39,1418,5,"CZ0100"
"500208",40,125,0.44,"CZ0100"
"500216",1,15,0.12,"CZ0100"
"500216",2,39,0.31,"CZ0100"
"500216",3,49,0.39,"CZ0100"
"500216",4,11,0.09,"CZ0100"
"500216",5,2617,20.61,"CZ0100"
"500216",6,105,0.83,"CZ0100"
"500216",7,359,2.83,"CZ0100"
"500216",8,4,0.03,"CZ0100"
"500216",9,424,3.34,"CZ0100"
"500216",10,18,0.14,"CZ0100"
"500216",11,20,0.16,"CZ0100"
"500216",12,61,0.48,"CZ0100"
"500216",13,16,0.13,"CZ0100"
"500216",14,4,0.03,"CZ0100"
"500216",15,4,0.03,"CZ0100"
"500216",16,98,0.77,"CZ0100"
"500216",17,10,0.08,"CZ0100"
"500216",18,3,0.02,"CZ0100"
"500216",19,20,0.16,"CZ0100"
"500216",22,14,0.11,"CZ0100"
"500216",23,12,0.09,"CZ0100"
"500216",24,490,3.86,"CZ0100"
"500216",25,122,0.96,"CZ0100"
"500216",26,2340,18.43,"CZ0100"
"500216",27,2340,18.43,"CZ0100"
"500216",28,757,5.96,"CZ0100"
"500216",29,8,0.06,"CZ0100"
"500216",30,1909,15.03,"CZ0100"
"500216",31,16,0.13,"CZ0100"
"500216",32,6,0.05,"CZ0100"
"500216",33,1,0.01,"CZ0100"
"500216",34,65,0.51,"CZ0100"
"500216",35,8,0.06,"CZ0100"
"500216",36,24,0.19,"CZ0100"
"500216",37,102,0.8,"CZ0100"
"500216",38,7,0.06,"CZ0100"
"500216",39,552,4.35,"CZ0100"
"500216",40,49,0.39,"CZ0100"
"500224",1,35,0.12,"CZ0100"
"500224",2,77,0.27,"CZ0100"
"500224",3,73,0.25,"CZ0100"
"500224",4,15,0.05,"CZ0100"
"500224",5,5207,18.1,"CZ0100"
"500224",6,235,0.82,"CZ0100"
"500224",7,855,2.97,"CZ0100"
"500224",8,14,0.05,"CZ0100"
"500224",9,1210,4.21,"CZ0100"
"500224",10,22,0.08,"CZ0100"
"500224",11,26,0.09,"CZ0100"
"500224",12,125,0.43,"CZ0100"
"500224",13,31,0.11,"CZ0100"
"500224",14,12,0.04,"CZ0100"
"500224",15,22,0.08,"CZ0100"
